"","instance_id","artist_name","track_name","popularity","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","obtained_date","valence","music_genre"
"378",45618,"Quantic","Cumbia Sobre el Mar (feat. Nidia Gongora)",36,0.0796,0.61,374445,0.606,0.338,"C",0.108,-8.085,"Major",0.0565,"84.475","4-Apr",0.643,"Electronic"
"381",86070,"Moby","Inside",35,0.843,0.552,288600,0.256,0.918,"D",0.106,-17.753,"Major",0.0306,"95.02799999999999","4-Apr",0.0399,"Electronic"
"401",48109,"El Mundo","Can You See What I See",49,0.0307,0.802,4e+05,0.702,0.891,"A#",0.0936,-8.503,"Minor",0.0804,"108.006","4-Apr",0.186,"Electronic"
"416",71684,"The Prodigy","Your Love",26,0.0128,0.669,362667,0.871,0.734,"B",0.0954,-4.642,"Major",0.0362,"136.903","4-Apr",0.515,"Electronic"
"419",31632,"Hercules & Love Affair","Rejoice (feat. Rouge Mary)",27,0.011,0.703,311823,0.569,0.026,"G",0.123,-7.888,"Major",0.0438,"?","4-Apr",0.529,"Electronic"
"427",66955,"Bonobo","Ibrik",64,0.257,0.738,350055,0.512,0.879,"F",0.0824,-12.924,"Minor",0.0668,"?","4-Apr",0.0867,"Electronic"
"445",72211,"empty_field","Never Let You Go (feat. Sofia Reyes)",67,0.192,0.67,162538,0.672,5.13e-05,"C#",0.0926,-3.469,"Major",0.0923,"165.075","4-Apr",0.643,"Electronic"
"455",47779,"Kayzo","More Than Ever",37,0.00245,0.493,263164,0.961,0.166,"G",0.129,-4.689,"Minor",0.161,"159.993","4-Apr",0.324,"Electronic"
"468",82311,"François de Roubaix","Les dunes d'ostende (Original Motion Picture Soundtrack)",29,0.69,0.305,136562,0.364,0.252,"C",0.361,-12.858,"Minor",0.0273,"?","4-Apr",0.159,"Electronic"
"488",74470,"Paul Oakenfold","Lonely Ones - Daniel Davoli Ibiza Remix",29,0.142,0.735,373192,0.704,0.242,"F#",0.113,-7.552,"Minor",0.0428,"124.0","4-Apr",0.449,"Electronic"
"542",51590,"Cut Copy","Counting Down",54,0.396,0.586,230787,0.856,0.00836,"C#",0.0895,-5.241,"Minor",0.0432,"110.022","4-Apr",0.689,"Electronic"
"566",68322,"RL Grime","Era",50,0.0049,0.449,249600,0.963,0.09,"B",0.227,-2.041,"Major",0.0734,"149.85399999999998","4-Apr",0.124,"Electronic"
"572",51581,"DJ Snake","Talk",58,0.0074,0.647,237960,0.817,0,"G",0.124,-4.466,"Major",0.0814,"118.08200000000001","4-Apr",0.277,"Electronic"
"585",41450,"Boogie T","Senpai (HE$H x Bommer Remix)",36,0.0248,0.756,198400,0.904,0.104,"D",0.337,-2.368,"Major",0.298,"150.005","4-Apr",0.227,"Electronic"
"607",83880,"RJD2","Clean Living",35,0.0695,0.756,-1,0.525,0.736,"D",0.0716,-10.441,"Minor",0.067,"102.95299999999999","4-Apr",0.486,"Electronic"
"615",87510,"Armen Miran","Inevitable Ending - Viken Arman & Goldcap Remix",37,0.00161,0.889,860761,0.48,0.835,"A#",0.0514,-12.38,"Minor",0.0747,"100.00200000000001","4-Apr",0.0751,"Electronic"
"618",34827,"múm","Cycle Boats - Live in Berlin",33,0.366,0.67,329266,0.679,0.716,"C",0.102,-17.153,"Major",0.0572,"93.992","4-Apr",0.269,"Electronic"
"638",90370,"ARMNHMR","ARMNHMR & Nolan van Lith - Alone (Soar Remix)",33,0.116,0.407,246866,0.534,0.00117,"E",0.111,-3.41,"Minor",0.0337,"140.232","4-Apr",0.11,"Electronic"
"646",87309,"Floex","Wednesday (Is The New Friday)",31,0.353,0.602,341253,0.556,0.892,"A#",0.113,-11.19,"Major",0.0326,"130.019","5-Apr",0.218,"Electronic"
"655",71759,"Tomáš Dvořák","Nanorobot Tune",28,0.287,0.784,186547,0.659,0.697,"D",0.3,-9.45,"Major",0.0962,"?","4-Apr",0.793,"Electronic"
"670",76818,"empty_field","Bootleg Fireworks (The Rebirth)",30,0.0323,0.626,243380,0.794,0.0346,"E",0.601,-5.18,"Major",0.202,"142.009","4-Apr",0.144,"Electronic"
"697",52311,"Apashe","Majesty",65,0.0351,0.559,267750,0.805,0.00125,"A#",0.122,-3.54,"Minor",0.0703,"80.087","4-Apr",0.286,"Electronic"
"698",72485,"Jean-Michel Jarre","Oxygene, Pt. 1",41,0.772,0.0822,460640,0.297,0.186,"G",0.25,-15.023,"Minor",0.0398,"173.19400000000002","4-Apr",0.0351,"Electronic"
"700",67956,"Barely Alive","Rampage",38,0.000233,0.663,238400,0.965,0.0126,"C#",0.328,-1.788,"Major",0.0826,"150.026","4-Apr",0.544,"Electronic"
"702",47941,"Zuma Dionys","As Time Goes By",46,0.0906,0.832,469000,0.599,0.809,"D",0.0408,-11.718,"Major",0.0695,"101.99600000000001","4-Apr",0.465,"Electronic"
"707",51300,"Taska Black","Where We Go",52,0.053,0.291,210000,0.686,0.000262,"G#",0.143,-5.7,"Major",0.0435,"160.058","4-Apr",0.0883,"Electronic"
"718",29622,"Tropkillaz","Boa Noite",50,0.00564,0.606,168008,0.862,0.821,"D",0.171,-3.718,"Minor",0.0609,"80.00399999999999","4-Apr",0.253,"Electronic"
"722",51723,"Doves","There Goes The Fear",53,8.6e-05,0.499,414080,0.975,0.0721,"F",0.0258,-4.504,"Major",0.0538,"109.99700000000001","4-Apr",0.509,"Electronic"
"747",33938,"Flying Lotus","Getting There",46,0.149,0.18,109353,0.719,0.00037,"C#",0.131,-5.789,"Major",0.0993,"163.80100000000002","4-Apr",0.1,"Electronic"
"750",83247,"RJD2","F.H.H.",33,0.0257,0.733,271360,0.874,1.5e-06,"A#",0.22,-6.63,"Minor",0.231,"91.62700000000001","4-Apr",0.574,"Electronic"
"751",58933,"Portishead","We Carry On",33,0.518,0.555,387787,0.906,0.619,"D#",0.212,-5.196,"Major",0.0342,"126.98200000000001","4-Apr",0.478,"Electronic"
"762",52752,"empty_field","MTRD",35,0.0017699999999999,0.682,255000,0.879,0.385,"B",0.0872,-4.709,"Minor",0.0535,"127.977","4-Apr",0.25,"Electronic"
"772",77054,"Blur","Badhead - 2012 Remaster",38,0.0535,0.543,205773,0.616,0.000335,"G",0.555,-8.711,"Major",0.0266,"111.079","4-Apr",0.45,"Electronic"
"774",76126,"Bro Safari","Drama (Party Favor Remix)",40,0.0671,0.704,186594,0.936,0.000975,"C#",0.0806,-3.149,"Major",0.0913,"?","4-Apr",0.228,"Electronic"
"776",22074,"Thievery Corporation","Waiting Too Long (feat. Notch)",37,0.334,0.779,242154,0.411,0.02,"B",0.0443,-8.479,"Major",0.0484,"78.08","4-Apr",0.663,"Electronic"
"777",30023,"Bear Grillz","Going Down (Under)",38,0.0141,0.573,208017,0.988,0.0692,"F#",0.343,-2.537,"Minor",0.0833,"150.02200000000002","4-Apr",0.187,"Electronic"
"779",56283,"Art Of Noise","Moments In Love",47,0.28,0.696,-1,0.234,0.0511,"A",0.311,-14.991,"Major",0.112,"138.118","4-Apr",0.489,"Electronic"
"782",21304,"Ray Volpe","Sell Out",36,0.00265,0.601,208000,0.972,0.000179,"B",0.226,-1.36,"Major",0.135,"149.998","4-Apr",0.0704,"Electronic"
"790",50542,"The Prodigy","We Live Forever - Teddy Killerz Remix",46,0.00262,0.569,238605,0.984,0.000337,"F#",0.639,-1.82,"Major",0.403,"171.983","4-Apr",0.403,"Electronic"
"795",21973,"Gaullin","Step Back",39,0.0451,0.874,203598,0.733,0.668,"D",0.133,-8.314,"Major",0.043,"125.03399999999999","4-Apr",0.231,"Electronic"
"796",38693,"3LAU","Touch - Zeds Dead Remix",44,0.0571,0.66,189045,0.789,1.69e-05,"G",0.102,-4.892,"Major",0.0642,"140.03","4-Apr",0.315,"Electronic"
"804",56336,"San Holo","I Still See Your Face - Wildfire Remix",37,0.087,0.376,-1,0.804,0.02,"G#",0.215,-7.193,"Major",0.0464,"149.96200000000002","4-Apr",0.405,"Electronic"
"808",64716,"Jon Hopkins","C O S M",52,0.309,0.433,428440,0.449,0.925,"C#",0.0792,-14.983,"Minor",0.102,"106.975","4-Apr",0.243,"Electronic"
"809",28015,"Kerala Dust","Nevada",50,0.615,0.913,363095,0.141,0.907,"G#",0.084,-14.659,"Major",0.105,"?","4-Apr",0.364,"Electronic"
"811",72893,"Evil Nine","Hired Goons",35,0.00207,0.765,344400,0.493,0.891,"B",0.0966,-6.834,"Minor",0.0422,"126.97","4-Apr",0.742,"Electronic"
"813",82891,"empty_field","Gabriel",32,0.173,0.228,257947,0.537,0.00472,"B",0.0673,-9.134,"Minor",0.0435,"72.863","3-Apr",0.173,"Electronic"
"828",72111,"Tricky","Wait For Signal",37,0.43,0.861,185907,0.539,0.122,"C",0.119,-11.271,"Major",0.0632,"121.073","4-Apr",0.442,"Electronic"
"830",69058,"Flunk","Play",34,0.0471,0.518,243813,0.659,2.81e-06,"C",0.121,-7.249,"Major",0.0308,"157.053","4-Apr",0.13,"Electronic"
"844",49974,"Bibio","Fix This Thang",30,0.209,0.692,234307,0.699,0.908,"G",0.117,-9.356,"Major",0.0707,"111.97","4-Apr",0.388,"Electronic"
"850",61093,"JayKode","Wasted (feat. Marco Foster)",30,0.0309,0.493,195097,0.891,1.35e-06,"E",0.128,-2.269,"Minor",0.0454,"77.455","4-Apr",0.333,"Electronic"
"908",27211,"12th Planet","Sooo Sick",31,0.000146,0.558,154400,0.903,0.00316,"C#",0.104,-2.329,"Major",0.317,"112.46799999999999","3-Apr",0.0965,"Electronic"
"924",78439,"Thievery Corporation","Road Block",37,0.149,0.878,216520,0.567,0.0133,"C#",0.343,-8.294,"Minor",0.084,"146.971","4-Apr",0.875,"Electronic"
"946",27489,"JiKay","Roses - Jengi Remix",32,0.16,0.792,238560,0.679,0.0002379999999999,"F",0.111,-7.271,"Minor",0.0587,"125.00399999999999","4-Apr",0.557,"Electronic"
"956",82016,"!!!","Get That Rhythm Right",39,0.0382,0.832,-1,0.798,0.104,"G",0.098,-7.418,"Major",0.0475,"120.022","4-Apr",0.961,"Electronic"
"958",29186,"Ghastly","Geisha (The Tokyo VIP)",43,0.000388,0.663,214154,0.942,0.688,"A#",0.189,-5.016,"Minor",0.0421,"130.058","4-Apr",0.129,"Electronic"
"967",90296,"Daft Punk","Lose Yourself to Dance",71,0.0839,0.832,353893,0.659,0.00114,"A#",0.0753,-7.828,"Minor",0.057,"100.163","4-Apr",0.674,"Electronic"
"970",60161,"Bassnectar","Above and Beyond",32,2.95e-05,0.388,237037,0.795,0.858,"G",0.0854,-3.642,"Minor",0.0346,"80.939","4-Apr",0.134,"Electronic"
"982",32800,"Eptic","Eat My Dust",34,0.0906,0.804,234375,0.995,0.475,"F",0.264,-3.118,"Minor",0.27,"128.013","4-Apr",0.101,"Electronic"
"991",57787,"BROHUG","If I'm Wrong",50,0.0217,0.838,216960,0.963,0.000488,"C#",0.254,-3.783,"Major",0.15,"124.944","4-Apr",0.558,"Electronic"
"992",78675,"Digitalism","Jet",40,0.00182,0.657,366601,0.55,0.895,"C",0.0416,-10.651,"Minor",0.0342,"124.99799999999999","4-Apr",0.153,"Electronic"
"1010",52964,"Diskord","Release Me",27,0.00695,0.536,265352,0.823,9.14e-05,"F",0.168,-3.528,"Minor",0.0538,"?","4-Apr",0.291,"Electronic"
"1016",71307,"Bassnectar","Cozza Frenzy",34,0.000348,0.521,224348,0.961,0.808,"C#",0.118,-5.84,"Major",0.0439,"138.094","4-Apr",0.233,"Electronic"
"1020",35064,"The Prodigy","Skylined",22,0.0335,0.615,358067,0.987,0.806,"A#",0.44,-8.919,"Minor",0.0908,"140.012","4-Apr",0.105,"Electronic"
"1026",25295,"empty_field","Nerf This",37,0.00326,0.685,207043,0.761,0.383,"C",0.099,-2.584,"Major",0.0616,"75.03","4-Apr",0.192,"Electronic"
"1029",50803,"Björk","Mutual Core",27,0.514,0.423,306400,0.357,1.67e-06,"G#",0.485,-9.759,"Minor",0.0592,"119.917","5-Apr",0.135,"Electronic"
"1039",44923,"Hraach","Una Mattina - Original Mix",37,0.307,0.808,368488,0.48,0.87,"B",0.0833,-15.28,"Minor",0.0618,"116.006","4-Apr",0.352,"Electronic"
"1047",87617,"Blockhead","Dream On",37,0.00644,0.627,224041,0.52,0.563,"C#",0.438,-13.939,"Minor",0.035,"?","4-Apr",0.632,"Electronic"
"1053",54514,"Thievery Corporation","Exilio - Exile",37,0.765,0.878,183000,0.807,0.257,"A",0.161,-8.507,"Minor",0.12,"106.045","4-Apr",0.76,"Electronic"
"1072",78215,"graves","Need You",30,0.106,0.338,202480,0.775,0.0017,"D#",0.0996,-5.547,"Minor",0.0411,"120.81","4-Apr",0.2,"Electronic"
"1087",20236,"Hudson Mohawke","Play N Go",40,0.0417,0.776,231779,0.703,0.9,"F",0.645,-7.803,"Minor",0.0925,"118.04299999999999","4-Apr",0.639,"Electronic"
"1105",46420,"Oceanvs Orientalis","Ege",40,0.276,0.718,369662,0.655,0.856,"F",0.107,-10.731,"Minor",0.0331,"95.036","4-Apr",0.649,"Electronic"
"1109",51874,"Gramatik","I'm Doin' My Thang",35,0.00468,0.657,-1,0.884,0.0922,"C#",0.242,-6.721,"Major",0.351,"92.759","4-Apr",0.635,"Electronic"
"1111",52369,"josh pan","Jugg (feat. Bbno$)",40,0.0188,0.761,175681,0.936,0.0171,"A",0.339,-2.446,"Major",0.241,"100.051","4-Apr",0.439,"Electronic"
"1131",79384,"The Chemical Brothers","The Golden Path",46,0.263,0.642,287440,0.83,0.0032,"D",0.0839,-5.903,"Major",0.0336,"135.982","4-Apr",0.551,"Electronic"
"1145",28183,"Shakarchi & Stranéus","Marcy Son What",47,0.639,0.725,-1,0.449,0.812,"D",0.193,-13.603,"Major",0.0337,"127.98100000000001","4-Apr",0.732,"Electronic"
"1178",61731,"Wooli","Briddim Bomb",38,0.022,0.578,211200,0.974,0.000178,"C",0.0938,-2.999,"Major",0.515,"74.97","4-Apr",0.106,"Electronic"
"1184",65625,"Zero 7","End Theme - Herberts Chop Dub",31,0.127,0.848,306382,0.659,0.393,"D",0.0743,-8.444,"Major",0.0475,"?","4-Apr",0.895,"Electronic"
"1187",29038,"David Hohme","Fear Less [ABGT189] - Jody Wisternoff Remix",32,0.000256,0.648,313098,0.591,0.904,"F",0.0831,-10.573,"Minor",0.0348,"122.54799999999999","4-Apr",0.285,"Electronic"
"1189",53678,"Seven Lions","Rush Over Me (EFL099)",28,0.0461,0.481,267256,0.783,0,"A",0.547,-6.638,"Minor",0.079,"135.047","4-Apr",0.363,"Electronic"
"1217",70146,"Getter","Something New",45,0.0551,0.67,242667,0.702,0.103,"F#",0.341,-2.143,"Minor",0.0941,"90.01700000000001","4-Apr",0.122,"Electronic"
"1221",85215,"Little Dragon","Sweet",38,0.00025,0.755,-1,0.616,3.43e-05,"F#",0.0548,-7.518,"Major",0.0325,"106.993","4-Apr",0.813,"Electronic"
"1248",34244,"Alison Wonderland","Cold",42,0.0157,0.478,212794,0.785,0.0657,"F#",0.0695,-5.437,"Minor",0.159,"140.977","4-Apr",0.532,"Electronic"
"1260",23701,"Portishead","Pedestal",46,0.134,0.657,221000,0.46,0.691,"C",0.116,-10.6,"Minor",0.0545,"84.069","4-Apr",0.436,"Electronic"
"1263",25926,"Big Gigantic","Wide Open (feat. Cherub)",30,0.00409,0.76,280320,0.952,6.01e-05,"G",0.0649,-2.132,"Major",0.141,"124.946","4-Apr",0.859,"Electronic"
"1264",80214,"Flosstradamus","Rollup - Baauer Remix",44,0.212,0.602,191041,0.969,0.46,"G#",0.702,-3.163,"Major",0.316,"165.107","4-Apr",0.74,"Electronic"
"1271",30095,"Jamiroquai","You Give Me Something",59,0.0265,0.639,-1,0.69,0.000551,"G",0.146,-10.047,"Major",0.264,"119.63","4-Apr",0.579,"Electronic"
"1274",56202,"Vincent","Jinx",32,0.00968,0.524,201600,0.735,0.00464,"B",0.0747,-6.837,"Major",0.0507,"?","4-Apr",0.263,"Electronic"
"1275",25715,"The Prodigy","Wild Frontier - KillSonik Remix",22,0.00372,0.405,327429,0.796,0.0378,"G",0.0881,-6.436,"Major",0.104,"140.028","4-Apr",0.0377,"Electronic"
"1284",42939,"k?d","A.I.",40,0.000707,0.791,209455,0.845,0.758,"B",0.361,-2.071,"Minor",0.0869,"109.98899999999999","4-Apr",0.167,"Electronic"
"1295",44124,"The Prodigy","Get Your Fight On",27,0.000109,0.134,218760,0.987,0.403,"G",0.375,-3.761,"Major",0.0966,"163.90400000000002","5-Apr",0.3,"Electronic"
"1305",89934,"DROELOE","Bon Voyage",49,0.098,0.654,-1,0.556,0.0524,"D",0.118,-5.653,"Major",0.0435,"139.942","4-Apr",0.182,"Electronic"
"1307",83956,"empty_field","Krack",37,0.185,0.619,323853,0.953,0.918,"A#",0.085,-3.425,"Minor",0.0365,"112.839","4-Apr",0.507,"Electronic"
"1310",53224,"Aphex Twin","Mookid",32,0.548,0.69,231413,0.418,0.855,"C#",0.0963,-14.155,"Major",0.0416,"120.04700000000001","4-Apr",0.412,"Electronic"
"1312",22651,"Gammer","Pigface - Dougal & Gammer Edit",39,0.00045,0.686,254118,0.953,0.739,"F#",0.0194,-1.86,"Major",0.282,"170.005","4-Apr",0.426,"Electronic"
"1317",68701,"TINCUP","Lost - Original Mix",40,0.176,0.366,203363,0.946,0.0118,"G",0.0852,-1.189,"Major",0.122,"84.506","4-Apr",0.299,"Electronic"
"1319",38344,"Digitalism","Red Lights",36,0.00029,0.535,219760,0.845,0.0248,"C#",0.0797,-6.249,"Minor",0.048,"?","4-Apr",0.719,"Electronic"
"1326",85551,"12th Planet","Mmm Good",50,0.0011,0.504,134400,0.99,0.00955,"A#",0.151,-2.206,"Minor",0.387,"74.882","4-Apr",0.106,"Electronic"
"1343",40671,"Alison Wonderland","Okay",47,0.00431,0.56,233624,0.555,0.0216,"D",0.189,-7.089,"Major",0.0344,"140.007","4-Apr",0.105,"Electronic"
"1346",71171,"Kompany","Last Man Standing",33,0.099,0.614,226370,0.949,1.22e-06,"C#",0.297,-2.332,"Major",0.36,"150.06","4-Apr",0.259,"Electronic"
"1364",84582,"Yellow Claw","Stacks",42,0.00321,0.701,257128,0.981,0.00405,"D",0.0599,-1.759,"Major",0.161,"150.025","4-Apr",0.625,"Electronic"
"1382",60633,"Supergrass","Caught By the Fuzz",44,0.000202,0.322,136773,0.952,0.219,"A",0.0671,-6.925,"Major",0.205,"161.79","4-Apr",0.257,"Electronic"
"1387",44506,"Justice","Fire",47,0.000664,0.584,334225,0.66,0,"G",0.303,-5.91,"Minor",0.0278,"113.046","4-Apr",0.508,"Electronic"
"1416",44541,"The Presets","14U+14ME - Single Edit",45,0.039,0.698,210507,0.687,0.0358,"A#",0.165,-7.695,"Minor",0.063,"?","4-Apr",0.167,"Electronic"
"1420",41245,"San Holo","brighter days",62,0.4,0.603,236719,0.533,0,"C",0.124,-6.742,"Major",0.0832,"?","4-Apr",0.282,"Electronic"
"1428",47135,"Dirtcaps","Ride Or Die (feat. Kalibwoy)",42,0.0409999999999999,0.686,227908,0.862,0,"D",0.115,-4.322,"Major",0.0832,"154.996","4-Apr",0.239,"Electronic"
"1429",84076,"Lonely Ulf","From the Beginning - Extended Version",38,0.129,0.857,519643,0.35,0.735,"G",0.107,-13.157,"Major",0.0844,"98.012","4-Apr",0.296,"Electronic"
"1447",29237,"Archive","End of Our Days",21,0.875,0.389,292196,0.361,0.00229,"A#",0.133,-11.843,"Minor",0.0334,"113.507","3-Apr",0.237,"Electronic"
"1450",73774,"Datsik","Wreckless (feat. AD)",32,0.0364,0.64,190400,0.937,0,"D",0.183,-1.052,"Major",0.127,"112.27799999999999","3-Apr",0.276,"Electronic"
"1458",51108,"Moby","Rushing",35,0.0115,0.523,180267,0.448,0.947,"G",0.0896,-10.116,"Major",0.0408,"?","4-Apr",0.574,"Electronic"
"1464",39010,"Alison Wonderland","Cry - Sunny Norway Remix",29,0.023,0.694,219158,0.653,7.01e-05,"C#",0.107,-5.553,"Major",0.0793,"?","4-Apr",0.575,"Electronic"
"1468",62453,"Cut Copy","Glittering Clouds",46,0.00894,0.706,335653,0.616,0.515,"F#",0.195,-7.081,"Minor",0.0391,"117.973","4-Apr",0.4,"Electronic"
"1471",34289,"Seefeel","Time To Find Me (AFX Fast Mix)",32,0.0112,0.707,457000,0.48,0.901,"B",0.186,-14.098,"Minor",0.0726,"107.00200000000001","4-Apr",0.217,"Electronic"
"1486",83802,"NGHTMRE","Burn Out",39,0.00682,0.573,229600,0.827,0.00296,"D",0.663,-5.572,"Major",0.0578,"150.047","4-Apr",0.0857,"Electronic"
"1489",48489,"Gramatik","Room 3327",38,0.0148,0.451,180000,0.66,0.922,"B",0.13,-5.463,"Minor",0.0382,"164.053","4-Apr",0.0797,"Electronic"
